,,,,,,,,,,
,AQA | Core Maths,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,https://www.aqa.org.uk/subjects/mathematics/level-three/mathematics-1350/specification,,,,,,,Core Maths Resources,,
,,,,,,,,,,
,Paper 1 (60 Marks),,,Paper 2A - Statistical Techniques (60 Marks),,,,Resource,,Link
,,,,,,,,,,
,Paper,Mark Scheme,,Paper,Mark Scheme,,,Formula Sheet,,https://filestore.aqa.org.uk/sample-papers-and-mark-schemes/2022/june/AQA-13502-DB-JUN22.PDF
Jun 2023,https://cdn.sanity.io/files/p28bar15/green/26c376e03975e18c6406b05d4f6029cea9abc213.pdf,https://cdn.sanity.io/files/p28bar15/green/245cf95db0926ef5033cced5ab42143d517703a9.pdf,,https://cdn.sanity.io/files/p28bar15/green/83c20f4ee3c3403e0d5b59710c5fafde1edce5d0.pdf,https://cdn.sanity.io/files/p28bar15/green/5f05e930a9de47281f4d0b3ef228f906e77536d4.pdf,Jun 2023,,,,
Jun 2022,https://cdn.sanity.io/files/p28bar15/green/2ef66817d96c156ac0a431ae7ad0d586e47929e6.pdf,https://cdn.sanity.io/files/p28bar15/green/fe7818ff2c33ee804af8b10a8ad92413923a978c.pdf,,https://cdn.sanity.io/files/p28bar15/green/3c6cf5a618f6d9c9cdf75b8145fb9e324e743f62.pdf,https://cdn.sanity.io/files/p28bar15/green/e724a08d7610240093d64fbd7353aa9d583c0480.pdf,Jun 2022,,N/A,,N/A
Nov 2021,https://cdn.sanity.io/files/p28bar15/green/ac199d85bece79379c630ff77b625cf5ddd26deb.pdf,https://cdn.sanity.io/files/p28bar15/green/b09cbe547ee9acb6194ce5c4158ba61a0fb1f49f.pdf,,https://cdn.sanity.io/files/p28bar15/green/c6696e21546fe30679fc23c6f503a679bbce663e.pdf,https://cdn.sanity.io/files/p28bar15/green/ef2856793e250e2ee2cf59386d753897db702784.pdf,Nov 2021,,,,
Jun 2019,https://cdn.sanity.io/files/p28bar15/green/11321dcc8a22468f231e98e4e113d70cc1581724.pdf,https://cdn.sanity.io/files/p28bar15/green/f32297b3acfc64f88b2c8921ebba5b9d7b557d83.pdf,,https://cdn.sanity.io/files/p28bar15/green/0ad7098dcc7262d0b887167718dc7482753c8d8e.pdf,https://cdn.sanity.io/files/p28bar15/green/ba745c736675ebb646e2d81d0aaab4b98652d751.pdf,Jun 2019,,N/A,,N/A
Jun 2018,https://cdn.sanity.io/files/p28bar15/green/abf970e8c6c5ed9addb1efa669099493af425d47.pdf,https://cdn.sanity.io/files/p28bar15/green/61f95a377babe3447b209b92c761399f46af8aea.pdf,,https://cdn.sanity.io/files/p28bar15/green/348419a4992da04adb5ae238ae89817d64afe2b9.pdf,https://cdn.sanity.io/files/p28bar15/green/269a683c55fd84e83246134ab996cbe602470a58.pdf,Jun 2018,,,,
Jun 2017,https://cdn.sanity.io/files/p28bar15/green/f87f8f75cccf47d74be94870488cd132fea8ea5a.pdf,https://cdn.sanity.io/files/p28bar15/green/acfbcc102592d42c0d8903b2772ecc7ee5940172.pdf,,https://cdn.sanity.io/files/p28bar15/green/d7dc9c6b7757220c1f9f04ba8537c88c534ec936.pdf,https://cdn.sanity.io/files/p28bar15/green/58c0c56a4eb094da19826041f168a7bac3d976de.pdf,Jun 2017,,N/A,,N/A
Jun 2016,https://cdn.sanity.io/files/p28bar15/green/f4048bad85588274deee6a13bcb4c025109f168b.pdf,https://cdn.sanity.io/files/p28bar15/green/8eb3c2a7bcd1c88b07a5c9a1a6d5f47ace92ba57.pdf,,https://cdn.sanity.io/files/p28bar15/green/0619cedee0e39209c3744c2ec4cad45bcd35a42c.pdf,https://cdn.sanity.io/files/p28bar15/green/4bae7763afaacdffcf0cb7ba5d679405dbf821d3.pdf,Jun 2016,,,,
Sample Set,https://cdn.sanity.io/files/p28bar15/green/43eadbf36e0442fab953c899b8dc9ea1ffd76597.pdf,https://cdn.sanity.io/files/p28bar15/green/e6d8d3dc9f9751ae243159b708edd5db8097d5be.pdf,,https://cdn.sanity.io/files/p28bar15/green/69ab88dee6a849ef05f7b3bb74b5f8d2d431c1c8.pdf,https://cdn.sanity.io/files/p28bar15/green/f1bd61254c97c17df64b437b34351e3e60470dac.pdf,Sample Set,,N/A,,N/A
