,,,,,,,,,
,OCR | Chemistry - A Level,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,https://www.ocr.org.uk/qualifications/as-and-a-level/chemistry-a-h032-h432-from-2015/,,,,,,,,
,,,,,,,,,
,"Paper 1 - Periodic table, elements and physical chemistry (100 Marks)",,,Paper 2 - Synthesis and analytical techniques (100 Marks),,,Paper 3 - Unified Chemistry (70 Marks),,
,,,,,,,,,
,Paper,Mark Scheme,,Paper,Mark Scheme,,Paper,Mark Scheme,
Jun 2023,https://www.ocr.org.uk/Images/703910-question-paper-periodic-table-elements-and-physical-chemistry.pdf,https://www.ocr.org.uk/Images/704036-mark-scheme-periodic-table-elements-and-physical-chemistry.pdf,,https://www.ocr.org.uk/Images/703911-question-paper-synthesis-and-analytical-techniques.pdf,https://www.ocr.org.uk/Images/704037-mark-scheme-synthesis-and-analytical-techniques.pdf,,https://www.ocr.org.uk/Images/703912-question-paper-unified-chemistry.pdf,https://www.ocr.org.uk/Images/704038-mark-scheme-unified-chemistry.pdf,Jun 2023
Jun 2022,https://www.ocr.org.uk/Images/676894-question-paper-periodic-table-elements-and-physical-chemistry.pdf,https://www.ocr.org.uk/Images/677036-mark-scheme-periodic-table-elements-and-physical-chemistry.pdf,,https://www.ocr.org.uk/Images/676895-question-paper-synthesis-and-analytical-techniques.pdf,https://www.ocr.org.uk/Images/677037-mark-scheme-synthesis-and-analytical-techniques.pdf,,https://www.ocr.org.uk/Images/676896-question-paper-unified-chemistry.pdf,https://www.ocr.org.uk/Images/677038-mark-scheme-unified-chemistry.pdf,Jun 2022
Nov 2021,https://www.ocr.org.uk/Images/667278-question-paper-periodic-table-elements-and-physical-chemistry.pdf,https://www.ocr.org.uk/Images/667283-mark-scheme-periodic-table-elements-and-physical-chemistry.pdf,,https://www.ocr.org.uk/Images/667279-question-paper-synthesis-and-analytical-techniques.pdf,https://www.ocr.org.uk/Images/667284-mark-scheme-synthesis-and-analytical-techniques.pdf,,https://www.ocr.org.uk/Images/667280-question-paper-unified-chemistry.pdf,https://www.ocr.org.uk/Images/667285-mark-scheme-unified-chemistry.pdf,Nov 2021
Nov 2020,https://www.ocr.org.uk/Images/643571-question-paper-periodic-table-elements-and-physical-chemistry.pdf,https://www.ocr.org.uk/Images/643576-mark-scheme-periodic-table-elements-and-physical-chemistry.pdf,,https://www.ocr.org.uk/Images/643572-question-paper-synthesis-and-analytical-techniques.pdf,https://www.ocr.org.uk/Images/643577-mark-scheme-synthesis-and-analytical-techniques.pdf,,https://www.ocr.org.uk/Images/643573-question-paper-unified-chemistry.pdf,https://www.ocr.org.uk/Images/643578-mark-scheme-unified-chemistry.pdf,Nov 2020
Jun 2019,https://www.ocr.org.uk/Images/621246-question-paper-periodic-table-elements-and-physical-chemistry.pdf,https://www.ocr.org.uk/Images/621421-mark-scheme-periodic-table-elements-and-physical-chemistry.pdf,,https://www.ocr.org.uk/Images/621247-question-paper-synthesis-and-analytical-techniques.pdf,https://www.ocr.org.uk/Images/621422-mark-scheme-synthesis-and-analytical-techniques.pdf,,https://www.ocr.org.uk/Images/621248-question-paper-unified-chemistry.pdf,https://www.ocr.org.uk/Images/621423-mark-scheme-unified-chemistry.pdf,Jun 2019
Jun 2018,https://www.ocr.org.uk/Images/528077-question-paper-periodic-table-elements-and-physical-chemistry.pdf,https://www.ocr.org.uk/Images/529100-mark-scheme-periodic-table-elements-and-physical-chemistry.pdf,,https://www.ocr.org.uk/Images/528078-question-paper-synthesis-and-analytical-techniques.pdf,https://www.ocr.org.uk/Images/529101-mark-scheme-synthesis-and-analytical-techniques.pdf,,https://www.ocr.org.uk/Images/528079-question-paper-unified-chemistry.pdf,https://www.ocr.org.uk/Images/529102-mark-scheme-unified-chemistry.pdf,Jun 2018
Jun 2017,https://www.ocr.org.uk/Images/471886-question-paper-unit-h432-01-periodic-table-elements-and-physical-chemistry.pdf,https://www.ocr.org.uk/Images/472517-mark-scheme-periodic-table-elements-and-physical-chemistry-june.pdf,,https://www.ocr.org.uk/Images/471887-question-paper-unit-h432-02-synthesis-and-analytical-techniques.pdf,https://www.ocr.org.uk/Images/472518-mark-scheme-synthesis-and-analytical-techniques.pdf,,https://www.ocr.org.uk/Images/471888-question-paper-unit-h432-03-unified-chemistry.pdf,https://www.ocr.org.uk/Images/472519-mark-scheme-unified-chemistry.pdf,Jun 2017
